九二無鉛汽油,24.0
九二無鉛汽油,23.7
咖啡廣場奶香特調咖啡,28.0
咖啡廣場調合式冰咖啡,28.0
女仕亮頭芭蕾舞鞋紅,39.0
49-流行飾品,36.0
牛頭牌紅蔥醬737g/罐,159.0
有賀脆紫菜-原味50g/包,69.0
FP綠豆,600G,45.0
鮪魚飯糰,25.0
飲冰室茶集紅奶茶400ml(盒),25.0
39　白吐司,25.0
手續費,4.0
紅鮭飯糰,30.0
東港櫻花蝦拌飯飯糰,25.0
關東煮科學麵,10.0
97　統一純喫茶－紅,30.0
13　波的多蚵仔煎,35.0
92無鉛汽油,23.4
92無鉛汽油,23.4
御茶園特上奶茶PET550,28.0
真飽涼麵-原味麻醬,45.0
